MemberEventKey,MemberID,ProgramCode,ProgramDate,ParticipationStatus,Rank,CorrectedRank,RankCode,Promotion,PromotionFrom,PromotionTo,InterestBadges,Advancements,PCode,FullCode,ImageFile
C0023|P0006,C0023,P0006,2017-09-01,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0007,C0023,P0007,2017-09-08,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0008,C0023,P0008,2017-09-15,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0009,C0023,P0009,2017-09-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0010,C0023,P0010,2017-10-13,1,Member,Member,R02,,,,IB044,,IB044,"R02,IB044",R02_IB044.png
C0023|P0011,C0023,P0011,2017-10-20,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0012,C0023,P0012,2017-10-21,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0013,C0023,P0013,2017-10-27,1,Member,Member,R02,,,,IB061,,IB061,"R02,IB061",R02_IB061.png
C0023|P0014,C0023,P0014,2017-10-28,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0015,C0023,P0015,2017-11-03,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0016,C0023,P0016,2017-11-10,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0017,C0023,P0017,2017-11-17,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0018,C0023,P0018,2017-11-24,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0020,C0023,P0020,2018-01-26,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0021,C0023,P0021,2018-02-02,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0022,C0023,P0022,2018-02-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0023,C0023,P0023,2018-02-10,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0024,C0023,P0024,2018-02-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0025,C0023,P0025,2018-02-23,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0026,C0023,P0026,2018-02-25,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0027,C0023,P0027,2018-03-02,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0028,C0023,P0028,2018-03-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0029,C0023,P0029,2018-03-16,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0030,C0023,P0030,2018-03-23,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0031,C0023,P0031,2018-04-20,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0032,C0023,P0032,2018-05-04,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0033,C0023,P0033,2018-05-11,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0034,C0023,P0034,2018-05-18,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0036,C0023,P0036,2018-05-25,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0037,C0023,P0037,2018-06-01,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0039,C0023,P0039,2018-06-08,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0040,C0023,P0040,2018-06-15,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0041,C0023,P0041,2018-06-22,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0042,C0023,P0042,2018-07-27,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0043,C0023,P0043,2018-08-03,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0044,C0023,P0044,2018-08-17,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0046,C0023,P0046,2018-08-24,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0047,C0023,P0047,2018-08-31,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0048,C0023,P0048,2018-09-08,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0049,C0023,P0049,2018-09-09,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0050,C0023,P0050,2018-09-14,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0052,C0023,P0052,2018-10-06,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0053,C0023,P0053,2018-10-12,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0054,C0023,P0054,2018-10-19,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0055,C0023,P0055,2018-10-20,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0056,C0023,P0056,2018-10-26,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0057,C0023,P0057,2018-11-02,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0058,C0023,P0058,2018-11-03,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0059,C0023,P0059,2018-11-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0024|P0001,C0024,P0001,2017-07-28,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0024|P0002,C0024,P0002,2017-08-04,1,Member,Member,R02,,,,IB026,,IB026,"R02,IB026",R02_IB026.png
C0024|P0003,C0024,P0003,2017-08-11,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0024|P0004,C0024,P0004,2017-08-18,0,Second,Member,R02,,,,,,0,"R02,0",R02_0.png
C0024|P0005,C0024,P0005,2017-08-25,0,Second,Member,R02,,,,,,0,"R02,0",R02_0.png
C0024|P0006,C0024,P0006,2017-09-01,1,Second,Second,R03,Member → Second,Member,Second,,,Second,"R03,Second",R03_Second.png
C0024|P0007,C0024,P0007,2017-09-08,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0008,C0024,P0008,2017-09-15,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0009,C0024,P0009,2017-09-16,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0010,C0024,P0010,2017-10-13,1,Second,Second,R03,,,,"IB024,IB046",,"IB024,IB046","R03,IB024,IB046",R03_IB024_IB046.png
C0024|P0011,C0024,P0011,2017-10-20,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0012,C0024,P0012,2017-10-21,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0013,C0024,P0013,2017-10-27,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0014,C0024,P0014,2017-10-28,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0015,C0024,P0015,2017-11-03,1,Second,Second,R03,,,,,AD003,AD003,"R03,AD003",R03_AD003.png
C0024|P0016,C0024,P0016,2017-11-10,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0017,C0024,P0017,2017-11-17,1,Second,Second,R03,,,,IB027,,IB027,"R03,IB027",R03_IB027.png
C0024|P0018,C0024,P0018,2017-11-24,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0020,C0024,P0020,2018-01-26,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0021,C0024,P0021,2018-02-02,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0022,C0024,P0022,2018-02-09,1,Second,Second,R03,,,,,"AD002,AD005","AD002,AD005","R03,AD002,AD005",R03_AD002_AD005.png
C0024|P0023,C0024,P0023,2018-02-10,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0024,C0024,P0024,2018-02-16,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0025,C0024,P0025,2018-02-23,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0026,C0024,P0026,2018-02-25,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0027,C0024,P0027,2018-03-02,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0028,C0024,P0028,2018-03-09,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0024|P0029,C0024,P0029,2018-03-16,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0031,C0024,P0031,2018-04-20,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0032,C0024,P0032,2018-05-04,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0024|P0033,C0024,P0033,2018-05-11,1,Sixer,Sixer,R04,Second → Sixer,Second,Sixer,,,Sixer,"R04,Sixer",R04_Sixer.png
C0024|P0034,C0024,P0034,2018-05-18,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0036,C0024,P0036,2018-05-25,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0037,C0024,P0037,2018-06-01,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0038,C0024,P0038,2018-06-02,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0039,C0024,P0039,2018-06-08,1,Sixer,Sixer,R04,,,,IB023,,IB023,"R04,IB023",R04_IB023.png
C0024|P0040,C0024,P0040,2018-06-15,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0041,C0024,P0041,2018-06-22,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0042,C0024,P0042,2018-07-27,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0043,C0024,P0043,2018-08-03,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0044,C0024,P0044,2018-08-17,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0046,C0024,P0046,2018-08-24,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0047,C0024,P0047,2018-08-31,1,Sixer,Sixer,R04,,,,IB038,,IB038,"R04,IB038",R04_IB038.png
C0024|P0048,C0024,P0048,2018-09-08,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0049,C0024,P0049,2018-09-09,1,Sixer,Sixer,R04,,,,,AD004,AD004,"R04,AD004",R04_AD004.png
C0024|P0050,C0024,P0050,2018-09-14,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0052,C0024,P0052,2018-10-06,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0053,C0024,P0053,2018-10-12,1,Sixer,Sixer,R04,,,,,AD006,AD006,"R04,AD006",R04_AD006.png
C0024|P0054,C0024,P0054,2018-10-19,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0055,C0024,P0055,2018-10-20,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0056,C0024,P0056,2018-10-26,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0057,C0024,P0057,2018-11-02,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0058,C0024,P0058,2018-11-03,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0059,C0024,P0059,2018-11-09,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0060,C0024,P0060,2018-11-16,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0061,C0024,P0061,2018-11-23,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0063,C0024,P0063,2019-01-18,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0024|P0064,C0024,P0064,2019-01-19,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0065,C0024,P0065,2019-01-25,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0066,C0024,P0066,2019-02-01,0,Sixer,Sixer,R04,,,,,,0,"R04,0",R04_0.png
C0024|P0067,C0024,P0067,2019-02-08,1,Sixer,Sixer,R04,,,,,,Tick,"R04,Tick",R04_Tick.png
C0025|P0001,C0025,P0001,2017-07-28,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0025|P0002,C0025,P0002,2017-08-04,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0025|P0003,C0025,P0003,2017-08-11,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0025|P0004,C0025,P0004,2017-08-18,1,Second,Second,R03,Member → Second,Member,Second,"IB015,IB026",,"Second,IB015,IB026","R03,Second,IB015,IB026",R03_Second_IB015_IB026.png
C0025|P0005,C0025,P0005,2017-08-25,1,Second,Second,R03,,,,IB038,,IB038,"R03,IB038",R03_IB038.png
C0025|P0006,C0025,P0006,2017-09-01,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0007,C0025,P0007,2017-09-08,1,Second,Second,R03,,,,IB050,,IB050,"R03,IB050",R03_IB050.png
C0025|P0008,C0025,P0008,2017-09-15,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0009,C0025,P0009,2017-09-16,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0010,C0025,P0010,2017-10-13,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0011,C0025,P0011,2017-10-20,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0012,C0025,P0012,2017-10-21,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0013,C0025,P0013,2017-10-27,1,Second,Second,R03,,,,"IB055,IB061",,"IB055,IB061","R03,IB055,IB061",R03_IB055_IB061.png
C0025|P0014,C0025,P0014,2017-10-28,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0015,C0025,P0015,2017-11-03,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0016,C0025,P0016,2017-11-10,1,Second,Second,R03,,,,IB021,,IB021,"R03,IB021",R03_IB021.png
C0025|P0017,C0025,P0017,2017-11-17,1,Second,Second,R03,,,,IB027,,IB027,"R03,IB027",R03_IB027.png
C0025|P0018,C0025,P0018,2017-11-24,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0025|P0020,C0025,P0020,2018-01-26,1,Sixer,Sixer,R04,Second → Sixer,Second,Sixer,,,Sixer,"R04,Sixer",R04_Sixer.png
